Lat	Long	albumkey	 subject	 song	 lyric	 notes
40.7133	-73.8444	pp	New York	Escape Is At Hand For The Travelling Man	It was our third time in New York / It was your fourth time in New York	The Big Apple
48.62	-56.03	ivl	Newfoundland	The Dire Wolf	At the Dire Wolf's crest / The Newfoundland paused	May be referring to the breed of dog
43.0772	-79.0752	dfn	Niagara Falls	Daredevil	Do you like it inside a barrel / plunging over the falls?	Annie Edison Taylor was the first to ride down the falls in a barrel in 1901
43.521	-76.4043	wats	Nine Mile Point Nuclear Station	Morning Moon	"The reactor's down, I guess for Labour Day / Today's the first day I ain't seen / The great plume of steam from across the lake"	Poetry
54.975	-2.1052	ivl	Northumberland	Silver Jet	As if the Wolves of Northumberland themselves / Were rumoured to be en route 	"A millennium ago, Northumberland was known for its high wolf population"
39.3058	-75.1665	maw	Philadelphia	The Bastard	"Then you turned all Billy Sunday, shoutin' / Philadelphia for Christ and Christ for Philadelphia"	The Cradle of Liberty
44.0073	-77.1408	tth	Regent Theatre	All Canadian Surf Club	Well there's a rockin' little spot next to the Regent Theatre	"This Regent Theatre is close to Sandbanks Provincial Park, known for sandbar waves"
39.524	-119.7467	tth	Reno	Small Town Bringdown	Been to Reno / Drives an El Camino	The Biggest Little City in the World
51.7276	36.1923	dfn	Russia	Scared	You're in Russia and more than a million works of art / Are whisked out to the woods / So when the Nazi's find the whole place dark / They'd think God's left the museum for good	Whether this happened or not seems to fall under WW2 legend. This location is Kursk museum
42.974	-82.4052	mmp	Sarnia	In Sarnia	"In my blood / Sarnia, you've been on my mind"	The Imperial City
52.1361	-106.6473	fc	Saskatoon	Wheat Kings	Sundown in the Paris of the Praries / Wheat kings have all their treasures buried	David Milgaard was wrongly imprisoned for a Saskatoon murder
46.5251	-84.301615	ra	Sault Ste. Marie	Born In The Water	Smart as trees in Sault Ste. Marie	The Soo
-2.33	34.83	tathh	Serengeti	Don't Wake Daddy	Then they drift past strips of Serengeti / And the gates of Sleepy Hollow too	The Maa word Serengit means Endless Plains
43.5675	-80.2695	wats	Speed River	Speed River	Speed River take me away	
44.2505	-76.9452	dfn	Springside Park	An Inch An Hour	Tonight the winter may have missed its mark / You can see your breath in Springside Park / Coffee coloured ice and peeling birch bark / Sound of rushing water in the dark	My favourite Hip lyric. Perfectly describes the Napanee park in winter
47.2693	-122.525	ibe	Tacoma Narrows Bridge	Vaccination Scar	It went down like a bad card table / Like the Tacoma Narrows Bridge	"Part bridge, part amusement ride"
48.4845	-89.168	dfn	Terry Fox	Inevitability Of Death	Terry's gift is for ever green	"Terry Fox memorial, near where he was forced to end his run across Canada"
48.15	-16.1166	dfn	The Bismarck	Nautical Disaster	"One afternoon, four thousand men died in the water here / and five hundred more were thrashing madly / as parasites might in your blood"	Was sunk in retaliation to the Battle of Denmark Strait
36.1098	-112.1945	tathh	The Grand Canyon	Gift Shop	And after a glimpse / Over the top / The rest of the world / Becomes a gift shop	Home of pink rattlesnakes
51	-100	fc	The Hundredth Meridian	At The Hundredth Meridian	At the hundredth meridian / Where the great planes begin	
41.7255	-49.9469	dfn	The Titanic	Titanic Terrarium	My great grandfather was a welder / He helped to build the Titanic / He certainly didn't think / That it was unsinkable	This is where the Titanic met its doom
55.7438	-97.8539	pp	Thompson	Thompson Girl	"Looks like Christmas at 55 degrees / This latitude weakens my knees, Thompson girl"	The Hub of the North
45.5543	-78.6993	ra	Tom Thompson	Three Pistols	Tom Thompson came paddling past / I'm pretty sure it was him	Tom Thompson went missing on Canoe Lake
43.6714	-79.4085	maw	Toronto	Toronto #4	[Song Title]	Hogtown
43.6875	-79.3661	wats	Toronto	Queen Of The Furrows	"'Win Toronto', yelled the Queen of the Furrows / This is how we farm, hens cluck and roosters crow "	The Big Smoke
43.6223	-79.3784	wats	Toronto Island	The Last Recluse	We rode hard for the boat / Hard as we could	"A bit of a stretch on lyrics alone, but Gord mentioned the Toronto Island reference in concert"
48.2007	16.382	tathh	Vienna	Springtime In Vienna	[Song Title]	"The City of Dreams, the City of Music"
